time,temperature
2026-05-12 00:00:00,22
2026-05-12 01:00:00,21
2026-05-12 02:00:00,20
2026-05-12 03:00:00,20
2026-05-12 04:00:00,19
2026-05-12 05:00:00,19
2026-05-12 06:00:00,21
2026-05-12 07:00:00,24
2026-05-12 08:00:00,26
2026-05-12 09:00:00,29
2026-05-12 10:00:00,31
2026-05-12 11:00:00,33
2026-05-12 12:00:00,35
2026-05-12 13:00:00,36
2026-05-12 14:00:00,37
2026-05-12 15:00:00,36
2026-05-12 16:00:00,34
2026-05-12 17:00:00,32
2026-05-12 18:00:00,30
2026-05-12 19:00:00,28
2026-05-12 20:00:00,27
2026-05-12 21:00:00,25
2026-05-12 22:00:00,24
2026-05-12 23:00:00,23
