time,temperature
2026-05-11 00:00:00,21
2026-05-11 01:00:00,20
2026-05-11 02:00:00,19
2026-05-11 03:00:00,19
2026-05-11 04:00:00,18
2026-05-11 05:00:00,18
2026-05-11 06:00:00,20
2026-05-11 07:00:00,23
2026-05-11 08:00:00,25
2026-05-11 09:00:00,27
2026-05-11 10:00:00,29
2026-05-11 11:00:00,31
2026-05-11 12:00:00,33
2026-05-11 13:00:00,34
2026-05-11 14:00:00,35
2026-05-11 15:00:00,34
2026-05-11 16:00:00,32
2026-05-11 17:00:00,30
2026-05-11 18:00:00,28
2026-05-11 19:00:00,26
2026-05-11 20:00:00,25
2026-05-11 21:00:00,24
2026-05-11 22:00:00,23
2026-05-11 23:00:00,22
